SampleID,SRA.ID,Genus,Species,Island,depth,BioProject,SRA.Study
fortis_SanCristobal_12,Sample_Fortis-San-Crist-12,Geospiza,fortis,SanCristobal,32.8,,
fortis_SanCristobal_4,Sample_Fortis-San-Crist-4,Geospiza,fortis,SanCristobal,29.3,,
fuliginosa_Daphne_10317,Sample_10317,Geospiza,fuliginosa,Daphne,40.2,,
fuliginosa_Daphne_15673,Sample_15673,Geospiza,fuliginosa,Daphne,30,,
fuliginosa_Daphne_19165,Sample_Fuliginosa-19165,Geospiza,fuliginosa,Daphne,34.7,,
fuliginosa_Daphne_19168,Sample_Fuliginosa-19168,Geospiza,fuliginosa,Daphne,20.1,,
fuliginosa_Espanola_1,Sample_Espanola-1,Geospiza,fuliginosa,Espanola,26,,
fuliginosa_Espanola_3,Sample_Espanola-3,Geospiza,fuliginosa,Espanola,30.3,,
fuliginosa_Espanola_4,Sample_Espanola-4,Geospiza,fuliginosa,Espanola,39.5,,
fortisxfuliginosa_Daphne_14612,Sample_14612,Geospiza,hybrid,Daphne,23.8,,
fortisxfuliginosa_Daphne_15466,Sample_15466,Geospiza,hybrid,Daphne,32.2,,
fortisxfuliginosa_Daphne_15484,Sample_15484,Geospiza,hybrid,Daphne,38.2,,
fortisxfuliginosa_Daphne_16366,Sample_16366,Geospiza,hybrid,Daphne,36.4,,
fortisxfuliginosa_Daphne_17638,Sample_17638,Geospiza,hybrid,Daphne,25.7,,
BB_Daphne_17867,Sample_17867,Geospiza,hybrid,Daphne,10.1,,
BB_Daphne_17869,Sample_17869,Geospiza,hybrid,Daphne,13.4,,
BB_Daphne_17870,Sample_17870,Geospiza,hybrid,Daphne,11.3,,
forxsca_Daphne_5627,Sample_Fortis-Daphne-5627,Geospiza,hybrid,Daphne,25.9,,
parvulus_Fernandina_104,Sample_STF-F-104,Camarhynchus,parvulus,Fernandina,29.4,,
parvulus_Fernandina_106,Sample_STF-F-106,Camarhynchus,parvulus,Fernandina,34.3,,
parvulus_Fernandina_107,Sample_STF-F-107-,Camarhynchus,parvulus,Fernandina,33.6,,
parvulus_Fernandina_109,Sample_STF-F-109,Camarhynchus,parvulus,Fernandina,29,,
parvulus_Floreana_2,Sample_STF-Floreana-2,Camarhynchus,parvulus,Floreana,35.9,,
parvulus_Floreana_3,Sample_STF-Floreana-3,Camarhynchus,parvulus,Floreana,30.4,,
parvulus_Floreana_4,Sample_STF-Floreana-4,Camarhynchus,parvulus,Floreana,34.2,,
parvulus_Isabela_1,Sample_STF-Isabela-1,Camarhynchus,parvulus,Isabela,30.8,,
parvulus_Isabela_4,Sample_STF-Isabela-4,Camarhynchus,parvulus,Isabela,30.8,,
parvulus_Isabela_5,Sample_STF-Isabela-5,Camarhynchus,parvulus,Isabela,35.3,,
parvulus_SantaFe_1,Sample_STF-St-Fe-1,Camarhynchus,parvulus,Santa_Fe,31.7,,
parvulus_SantaFe_2,Sample_STF-St-Fe-2,Camarhynchus,parvulus,Santa_Fe,29.8,,
parvulus_SantaFe_3,Sample_STF-St-Fe-3,Camarhynchus,parvulus,Santa_Fe,35.9,,
forxfuligxscandens_Daphne_19027,Sample_19027,Geospiza,scandens,Daphne,32,,
forxfuligxscandens_Daphne_19204,Sample_19204,Geospiza,scandens,Daphne,24.4,,
forxfuligxscandens_Daphne_19598,Sample_19598,Geospiza,scandens,Daphne,23.4,,
forxfuligxscandens_Daphne_19937,Sample_19937,Geospiza,scandens,Daphne,32.8,,
scandens_Floreana_100,Sample_Scandens-Floreana-100,Geospiza,scandens,Floreana,32,,
scandens_Floreana_101,Sample_Scandens-Floreana-101,Geospiza,scandens,Floreana,30.1,,
scandens_Floreana_102,Sample_Scandens-Floreana-102,Geospiza,scandens,Floreana,33.5,,
scandens_Floreana_103,Sample_Scandens-Floreana-103,Geospiza,scandens,Floreana,34.6,,
scandens_Pinta_1,Sample_Scandens-Pinta-1,Geospiza,scandens,Pinta,24.6,,
scandens_Pinta_2,Sample_Scandens-Pinta-2,Geospiza,scandens,Pinta,30.5,,
scandens_Pinta_1a,Sample_Scandens-Pinta-1a,Geospiza,scandens,Pinta,32.4,,
scandens_Pinta_2a,Sample_Scandens-Pinta-2a,Geospiza,scandens,Pinta,31.4,,
scandens_Rabida_1,Sample_Rabida-1,Geospiza,scandens,Rabida,36.4,,
scandens_Rabida_2,Sample_Rabida-2,Geospiza,scandens,Rabida,25.4,,
scandens_Rabida_4,Sample_Rabida-4,Geospiza,scandens,Rabida,30.3,,
scandens_SanCristobal_105,Sample_Scandens-S-Crist-105,Geospiza,scandens,SanCristobal,27.8,,
scandens_SanCristobal_110,Sample_Scandens-S-Crist-110,Geospiza,scandens,SanCristobal,27.9,,
scandens_SanCristobal_2,Sample_Scandens-S-Crist-2,Geospiza,scandens,SanCristobal,36.1,,
scandens_SanCristobal_4,Sample_Scandens-S-Crist-4,Geospiza,scandens,SanCristobal,28.7,,
scandens_Santiago_1,Sample_Santiago-1,Geospiza,scandens,Santiago,28.4,,
scandens_Santiago_2,Sample_Santiago-2,Geospiza,scandens,Santiago,30.9,,
scandens_Santiago_3,Sample_Santiago-3,Geospiza,scandens,Santiago,34.4,,
scandens_Santiago_4,Sample_Santiago-4,Geospiza,scandens,Santiago,32.4,,
